
2025/02/06 (23:46:15) | ===> btop++ v.1.4.0
2025/02/06 (23:46:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/06 (23:46:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/06 (23:46:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (01:38:04) | ===> btop++ v.1.4.0
2025/02/07 (01:38:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (01:38:04) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/07 (01:38:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (01:42:21) | ===> btop++ v.1.4.0
2025/02/07 (01:42:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (01:42:21) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/07 (01:42:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (02:20:30) | ===> btop++ v.1.4.0
2025/02/08 (02:20:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (02:20:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/08 (02:20:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (06:25:40) | ===> btop++ v.1.4.0
2025/02/11 (06:25:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (06:25:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/11 (06:25:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (06:44:55) | ===> btop++ v.1.4.0
2025/02/11 (06:44:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (06:44:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/11 (06:44:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (07:41:07) | ===> btop++ v.1.4.0
2025/02/11 (07:41:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (07:41:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/11 (07:41:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (07:45:45) | ===> btop++ v.1.4.0
2025/02/11 (07:45:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (07:45:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/11 (07:45:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (03:09:18) | ===> btop++ v.1.4.0
2025/02/13 (03:09:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (03:09:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/13 (03:09:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (05:33:35) | ===> btop++ v.1.4.0
2025/02/20 (05:33:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/20 (05:33:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/20 (05:33:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:24:59) | ===> btop++ v.1.4.0
2025/02/25 (16:24:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (16:24:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/25 (16:24:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (19:31:15) | ===> btop++ v.1.4.0
2025/02/25 (19:31:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (19:31:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/25 (19:31:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (19:31:26) | ===> btop++ v.1.4.0
2025/02/25 (19:31:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (19:31:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/25 (19:31:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (22:15:58) | ===> btop++ v.1.4.0
2025/02/27 (22:15:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/27 (22:15:58) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/27 (22:15:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (11:32:40) | ===> btop++ v.1.4.0
2025/03/01 (11:32:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (11:32:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/01 (11:32:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (23:03:55) | ===> btop++ v.1.4.0
2025/03/01 (23:03:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (23:03:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/01 (23:03:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (15:51:09) | ===> btop++ v.1.4.0
2025/03/03 (15:51:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (15:51:09) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/03 (15:51:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (00:27:37) | ===> btop++ v.1.4.0
2025/03/04 (00:27:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (00:27:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/04 (00:27:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (13:56:56) | ===> btop++ v.1.4.0
2025/03/04 (13:56:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (13:56:56) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/04 (13:56:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (19:45:27) | ===> btop++ v.1.4.0
2025/03/05 (19:45:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (19:45:27) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/05 (19:45:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (22:53:08) | ===> btop++ v.1.4.0
2025/03/10 (22:53:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (22:53:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/10 (22:53:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (22:55:06) | ===> btop++ v.1.4.0
2025/03/10 (22:55:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (22:55:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/10 (22:55:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (23:18:22) | ===> btop++ v.1.4.0
2025/03/10 (23:18:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/10 (23:18:22) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/10 (23:18:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (19:46:36) | ===> btop++ v.1.4.0
2025/03/23 (19:46:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/23 (19:46:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/23 (19:46:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (12:56:18) | ===> btop++ v.1.4.0
2025/04/11 (12:56:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/11 (12:56:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/11 (12:56:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (19:16:17) | ===> btop++ v.1.4.0
2025/04/17 (19:16:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/17 (19:16:17) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/17 (19:16:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (22:33:53) | ===> btop++ v.1.4.0
2025/04/28 (22:33:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/28 (22:33:53) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/28 (22:33:53) | WARNING: Intel GPU: Failed to initialize PMU
